
                        S T E P       1


                                INCREMENT     1


 internal energy (element, energy) for set EALL and time  0.1000000E+01

         1  7.427926E-01
         2  9.429817E-01
         3  7.499816E-01
         4  9.493928E-01
         5  6.056330E-01
         6  7.768995E-01
         7  5.997661E-01
         8  7.715272E-01
         9  1.731249E+00
        10  2.067623E+00
        11  1.688792E+00
        12  2.021204E+00
        13  4.854493E-01
        14  8.674216E-01
        15  4.964143E-01
        16  8.732208E-01
        17  2.046475E+00
        18  2.570595E+00
        19  2.177303E+00
        20  2.706608E+00
        21  1.932993E+00
        22  2.467549E+00
        23  1.831962E+00
        24  2.375168E+00
        25  8.322571E-01
        26  1.008084E+00
        27  8.433638E-01
        28  1.016128E+00
        29  6.304658E-01
        30  8.428072E-01
        31  6.202825E-01
        32  8.358768E-01
        33  1.190269E+00
        34  1.450388E+00
        35  1.191381E+00
        36  1.452316E+00
        37  1.108789E+00
        38  1.391674E+00
        39  1.106491E+00
        40  1.390206E+00
        41  8.329172E-01
        42  1.020888E+00
        43  8.214203E-01
        44  1.012514E+00
        45  6.313598E-01
        46  8.348381E-01
        47  6.408220E-01
        48  8.405842E-01
        49  6.748824E-01
        50  8.356418E-01
        51  6.846915E-01
        52  8.455397E-01
        53  5.318147E-01
        54  6.959231E-01
        55  5.257585E-01
        56  6.899274E-01
