method,round,dof,elements,qoi,qoi_rel_error,marked_elements,captured_global_fraction
global_dorfler,0,1131,1161,-0.010234835925971875,0.1763965859639426,139,0.5001083250116419
global_dorfler,1,1677,1896,-0.011101441279326628,0.10666033100027315,383,0.5006902569496452
global_dorfler,2,2913,3658,-0.011576378623554933,0.06844183673335044,823,0.5002418078605664
global_dorfler,3,5352,7411,-0.011885253991788768,0.04358644973652628,1679,0.5000476901291457
global_dorfler,4,10407,15316,-0.012098589379156298,0.026419222568307782,3262,0.5000756203007749
global_dorfler,5,18507,29185,-0.012236150394935467,0.015349604740190672,0,0.0
semantic_ranked_intensity,0,1131,1161,-0.010234835925971875,0.1763965859639426,162,0.5040099014340065
semantic_ranked_intensity,1,2538,3097,-0.011467870242826823,0.07717357151303722,629,0.5006289826795768
semantic_ranked_intensity,2,9009,13497,-0.012027927594813834,0.03210541893210602,2486,0.5001278574887604
semantic_ranked_intensity,3,20241,32740,-0.012230853520363842,0.015775847428638766,5263,0.5000760441111641
semantic_ranked_intensity,4,29097,48086,-0.012307033509003138,0.009645597840041216,7656,0.5000199801900045
semantic_ranked_intensity,5,36339,60677,-0.012332051207177463,0.007632408593361563,0,0.0
