method,seed_count,success_mean,success_std,success_min,success_max,median_error_mean,cvar90_error_mean,mean_h_mean,mean_h_std,mean_n_fe_mean,mean_n_fe_std,mean_p_effective,fallback_rate_mean
DM_D,3,0.9242424242424242,0.0,0.9242424242424242,0.9242424242424242,0.010116717399607043,0.03771245291072221,2.5681818181818183,0.0,2.5681818181818183,0.0,0.12084516935064933,0.0
DM_PSO,3,0.7828282828282829,0.011572160845848072,0.7727272727272727,0.7954545454545454,0.00726999611871672,0.03489430204632521,5.0,0.0,10.469696969696969,0.27093264760981284,0.26854482077922076,0.0
DM_DQN,3,0.76010101010101,0.04628864338339228,0.7196969696969697,0.8106060606060606,0.013834434165809322,0.06346283168324228,3.78030303030303,0.13657391194939353,3.78030303030303,0.13657391194939353,0.36253550805194806,0.0
LM_D,3,0.7878787878787877,1.3597399555105182e-16,0.7878787878787878,0.7878787878787878,0.012323231588719839,0.08319969035524459,2.803030303030303,0.0,2.803030303030303,0.0,0.22650686904761905,0.0
LM_PSO,3,0.845959595959596,0.008747731351357958,0.8409090909090909,0.8560606060606061,0.002899616220096072,0.06495447211377331,5.0,0.0,16.366161616161616,0.24622183353027294,0.3500560703463203,0.0
LM_DQN,3,0.7196969696969697,0.013121597027036937,0.7121212121212122,0.7348484848484849,0.01331173542821111,0.09157061934705156,4.2727272727272725,0.04008714107673601,4.2727272727272725,0.04008714107673601,0.4015349042207792,0.0
SL_ONE_SHOT,3,0.5378787878787878,0.013121597027036937,0.5227272727272727,0.5454545454545454,0.01937189019396787,0.10418016151223107,1.8560606060606057,0.013121597027036937,1.8560606060606057,0.013121597027036937,0.5319890292207791,0.0
LLM_PH_ROUTER,3,0.9242424242424242,0.0,0.9242424242424242,0.9242424242424242,0.009160965627915876,0.03771245291072221,3.606060606060606,0.20496589785558617,4.7727272727272725,0.20086475126610373,0.25632278497113997,0.10606060606060608
