id,source,qoi_target,confidence,nodes,elements,dof_proxy,tip_uz,hole_opening,tip_rel_error,hole_rel_error,tip_pareto,hole_pareto
coarse_global,baseline,both,,377,1161,1131,-0.010208338585556356,0.001256815093469635,0.1662890106975207,0.12833470043778106,True,True
A000,oracle_atom,both,,1006,4148,3018,-0.010538212870803023,0.001313932458537618,0.13934830782079896,0.0887208977464539,False,False
A001,oracle_atom,both,,1013,4201,3039,-0.010630425059934058,0.0013352039852914726,0.13181737467414995,0.07396801020047655,False,False
A010,oracle_atom,both,,1009,4111,3027,-0.01063255929116634,0.0013031352462934756,0.13164307285048357,0.09620931453435631,False,False
A011,oracle_atom,both,,994,4034,2982,-0.010653762011567274,0.0013326201947990142,0.1299114550310691,0.07576000054600719,False,False
A100,oracle_atom,both,,1006,4253,3018,-0.010426397922857891,0.0012419068706378423,0.14848019055459064,0.13867431251607026,False,False
A101,oracle_atom,both,,982,4110,2946,-0.010377702788011728,0.001237649775259138,0.15245710302732676,0.14162682505178387,False,False
A110,oracle_atom,both,,1002,4219,3006,-0.010500004709898147,0.0012459845360931004,0.1424687532645368,0.13584624377386598,False,False
A111,oracle_atom,both,,1017,4317,3051,-0.010607016463147921,0.0012696065489565872,0.13372914554863544,0.11946317435824452,False,False
A200,oracle_atom,both,,985,4289,2955,-0.010362879435643691,0.0012610014606330234,0.15366772037352458,0.1254312415228515,False,False
A201,oracle_atom,both,,998,4365,2994,-0.010388167178430744,0.0012386007630253537,0.15160248038569246,0.14096726658496922,False,False
A210,oracle_atom,both,,992,4323,2976,-0.010223010708991885,0.0012367420213008932,0.16509074415864328,0.14225639867009388,False,False
A211,oracle_atom,both,,1001,4384,3003,-0.010318874525861875,0.0012304821116444452,0.15726158401361512,0.1465979649468455,False,False
A300,oracle_atom,both,,991,4157,2973,-0.010276154892306745,0.0012573209522345518,0.16075047965078368,0.12798386161180855,False,False
A301,oracle_atom,both,,994,4129,2982,-0.010242791459558481,0.0012347698879896988,0.16347525805521843,0.14362417359769533,False,False
A310,oracle_atom,both,,1004,4203,3012,-0.010141719634104252,0.0012465405619299717,0.17172975420890965,0.13546061152758002,False,False
A311,oracle_atom,both,,994,4098,2982,-0.010260501988679569,0.001263683700335904,0.16202884612139953,0.1235709716341006,False,False
LLM_T1_root_hole_transfer,llm_semantic,tip_displacement,0.88,1003,3823,3009,-0.011530179584429059,0.0014029133250974143,0.058334777240766904,0.02700813338823001,False,False
LLM_T2_root_band,llm_semantic,tip_displacement,0.73,994,3819,2982,-0.01124857008304883,0.0014059873667748811,0.08133371423967066,0.02487612886856863,True,True
LLM_T3_eccentric_load_path,llm_semantic,tip_displacement,0.61,992,4458,2976,-0.010228795631243168,0.0012571785903596755,0.16461829183814733,0.12808259682509093,False,False
LLM_H1_hole_local,llm_semantic,hole_opening,0.95,980,4070,2940,-0.011082009760440003,0.0012984555209141747,0.09493663014777157,0.09945494250764564,False,False
LLM_H2_hole_root_coupled,llm_semantic,hole_opening,0.82,998,3835,2994,-0.011534444087190286,0.001404249047234326,0.05798649698084525,0.026081742033883006,True,False
LLM_H3_positive_y_transfer,llm_semantic,hole_opening,0.58,973,4133,2919,-0.011108822740012325,0.0012990898903133788,0.09274682467276348,0.09901497500943246,True,True
